"age","s","female","male","ethblack","ethhisp","wexp","married","sf","sm","siblings","earnings","asvab02","asvab03","learnings","wexpsq"
40,17,0,1,0,0,17.5769195556641,1,16,16,5,30.4400005340576,66,57,3.41575755053808,308.948089599609
38,18,0,1,0,0,11.1730804443359,0,16,16,2,57.689998626709,50,60,4.05508382446413,124.837730407715
38,18,0,1,0,0,13.75,1,16,15,5,37.7900009155273,57,42,3.63204454158811,189.0625
38,12,0,1,0,0,21.5769195556641,1,16,16,1,18.4899997711182,34,48,2.91723003302035,465.563446044922
44,13,0,1,0,0,21.8269195556641,1,12,12,3,27,47,52,3.29583686600433,476.414428710938
44,12,0,1,0,0,20.3846092224121,1,10,10,3,14,58,56,2.63905732961526,415.532287597656
40,16,0,1,0,0,13.019229888916,1,16,16,2,38.810001373291,59,51,3.65867798076579,169.500350952148
38,12,0,1,0,0,19,0,12,12,1,22.1800003051758,50,56,3.09919099568127,361
41,12,0,1,0,0,22.4038505554199,1,9,11,4,12.3000001907349,50,59,2.50959927788527,501.932525634766
41,14,0,1,0,0,16.519229888916,0,14,12,4,11.8999996185303,53,56,2.4765383680612,272.884948730469
39,19,0,1,0,0,10.961540222168,0,12,16,1,27.3999996185303,51,51,3.31054299947177,120.155364990234
39,12,0,1,1,0,6.69230699539185,0,12,12,0,13.5,38,47,2.60268968544438,44.7869720458984
44,12,0,1,0,0,21.307689666748,1,0,0,2,25,40,29,3.2188758248682,454.017639160156
42,12,0,1,0,0,20.038459777832,0,9,11,4,10,31,41,2.30258509299405,401.539855957031
42,19,0,1,0,0,16.8846092224121,1,16,16,2,81.8199996948242,64,60,4.40452170877141,285.090026855469
40,14,0,1,0,0,15.038459777832,1,14,16,2,15.3800001144409,46,54,2.73306797151839,226.1552734375
42,14,0,1,0,0,21.961540222168,0,14,12,0,28.8400001525879,61,55,3.36176331770759,482.309234619141
44,15,0,1,0,0,20.75,1,12,14,4,9.60999965667725,64,61,2.26280418725663,430.5625
39,9,0,1,0,0,4.26923084259033,1,10,9,3,12.5,36,25,2.52572864430826,18.2263317108154
44,14,0,1,0,0,23.269229888916,1,8,12,8,15.9300003051758,65,52,2.76820414307926,541.45703125
38,16,0,1,0,0,16.3846092224121,1,12,10,2,83.3300018310547,58,54,4.42280865036765,268.455413818359
45,12,0,1,0,0,21.1153907775879,1,7,12,2,18.75,53,55,2.93119375241642,445.859741210938
40,13,0,1,1,0,21.3653907775879,1,12,12,2,21.8299999237061,40,47,3.08328516706694,456.479919433594
42,14,0,1,0,0,20.788459777832,1,12,12,3,28.8400001525879,46,51,3.36176331770759,432.160064697266
39,12,0,1,0,0,22.0769195556641,1,10,12,1,16.7099990844727,53,55,2.81600728781811,487.390380859375
38,18,0,1,0,0,13.307689666748,1,14,12,1,38.4599990844727,51,51,3.64961871635597,177.094604492188
42,12,0,1,0,0,19.6730804443359,1,14,10,6,18.2000007629395,46,55,2.9014216360025,387.030090332031
39,14,0,1,0,0,15.25,1,12,12,2,36.0499992370605,64,42,3.58490684256759,232.5625
40,19,0,1,0,0,11.711540222168,1,16,16,2,25.7600002288818,65,60,3.24882291012132,137.160171508789
43,11,0,1,0,0,23.019229888916,1,10,12,4,21.1100006103516,53,51,3.04974689077314,529.884948730469
39,13,0,1,0,1,14.192310333252,1,12,12,3,23.6000003814697,38,33,3.16124672819554,201.421676635742
42,12,0,1,0,0,19.1346092224121,1,11,8,7,20.9400005340576,64,55,3.04166123094657,366.133270263672
42,12,0,1,0,0,21.5,0,14,12,1,21,53,54,3.04452243772342,462.25
39,16,0,1,0,0,16.038459777832,1,13,12,5,17.9400005340576,51,54,2.88703288639975,257.232177734375
41,12,0,1,0,0,21.9230804443359,1,12,12,1,10.8299999237061,45,50,2.38232005396821,480.621459960938
43,16,0,1,0,0,16.9230804443359,1,20,17,3,15.6899995803833,62,59,2.75302354000073,286.390655517578
37,13,0,1,0,0,17.192310333252,1,12,12,3,18,59,46,2.89037175789616,295.575531005859
40,12,0,1,0,0,14.307689666748,1,12,11,1,12.5,47,50,2.52572864430826,204.709976196289
39,13,0,1,0,0,18.3846092224121,1,12,11,3,25,62,56,3.2188758248682,337.993865966797
41,14,0,1,0,0,10.75,1,17,12,7,11.3900003433228,65,60,2.43273580760156,115.5625
43,16,0,1,1,0,19.480770111084,0,6,12,2,23.25,49,60,3.14630513203337,379.500396728516
43,12,0,1,0,0,21.6730804443359,0,8,10,4,14.25,43,54,2.65675690671466,469.722412109375
40,15,0,1,0,1,20.557689666748,0,11,12,2,24.6100006103516,64,42,3.20315288920392,422.618591308594
41,12,0,1,0,0,18.0961494445801,0,12,12,1,17.75,42,59,2.87638551592142,327.470611572266
40,14,0,1,0,0,18.288459777832,0,16,16,3,15,51,55,2.70805020110221,334.4677734375
45,12,0,1,1,0,21.3653907775879,1,10,11,6,12,35,28,2.484906649788,456.479919433594
39,14,0,1,0,0,1.92307698726654,0,11,11,2,8,54,48,2.07944154167984,3.6982250213623
38,14,0,1,0,0,18.1538505554199,0,10,12,0,8,62,61,2.07944154167984,329.562286376953
40,14,0,1,0,0,13.807689666748,1,8,5,5,13.7299995422363,58,59,2.61958318643948,190.652297973633
44,19,0,1,0,0,10.3269195556641,1,18,15,3,48.0699996948242,65,60,3.8726582755573,106.64527130127
45,12,0,1,0,0,23.4038505554199,1,8,8,7,12.4399995803833,46,54,2.52091705357979,547.740234375
40,12,0,1,0,1,8.90384578704834,0,5,5,3,8,39,29,2.07944154167984,79.2784729003906
41,10,0,1,0,0,15.6153898239136,0,9,12,5,13.5,38,33,2.60268968544438,243.840393066406
40,16,0,1,0,0,18.3269195556641,0,16,12,7,11.9200000762939,66,60,2.4782176680377,335.8759765625
39,12,0,1,0,0,18.538459777832,1,13,13,5,25.5,54,51,3.23867845216438,343.674499511719
45,12,0,1,0,0,20.8269195556641,1,12,12,4,27.7700004577637,62,60,3.32395631780282,433.760589599609
41,16,0,1,0,0,17.557689666748,0,12,12,2,13,62,61,2.56494935746154,308.2724609375
39,12,0,1,0,0,18.6153907775879,1,12,10,1,20.1000003814697,61,59,3.00071983404362,346.532775878906
37,12,0,1,1,0,17.3461494445801,1,10,11,6,9.80000019073486,38,33,2.28238240513927,300.888885498047
38,16,0,1,0,0,17.3653907775879,1,12,12,4,22.4300003051758,66,60,3.11039936213781,301.556793212891
44,12,0,1,1,0,22.3846092224121,0,10,9,3,10.5600004196167,34,39,2.35707331801454,501.070739746094
39,9,0,1,0,0,21.8269195556641,1,10,9,3,16.3600006103516,36,29,2.79483936848215,476.414428710938
45,8,0,1,0,0,22.442310333252,0,3,6,1,12.3000001907349,54,31,2.50959927788527,503.657287597656
41,16,0,1,0,0,18.442310333252,1,14,12,1,23.0699996948242,61,54,3.13853305895741,340.118804931641
39,12,0,1,1,0,19.538459777832,1,11,10,3,13.7299995422363,35,29,2.61958318643948,381.751403808594
41,12,0,1,0,0,19.6346092224121,1,12,12,3,58.5999984741211,58,55,4.07073467054408,385.517883300781
